time,frame_id,fps,camera_us,vidConv_us,enc_us,rtpPay_us,udpStream_us,rtpDepay_us,dec_us,presentation_us,total_latency_us
2026-01-26 16:29:22.132338099,19761,67.28569506122999,16423,2154,5412,83,19880,72,12055,11507,67586
2026-01-26 16:29:22.153188836,19764,67.67273465520742,18012,2045,6877,113,12722,57,12055,10690,62571
2026-01-26 16:29:22.177227932,19765,73.63228039172373,14643,3291,6200,105,4770,82,5687,11009,45787
2026-01-26 16:29:22.178819711,19765,67.47183051076176,14643,3291,6200,105,4770,82,15835,10072,54998
2026-01-26 16:29:22.188621086,19765,66.77350427350427,14643,3291,6200,105,4770,82,15835,9135,54061
2026-01-26 16:29:22.201557728,19767,60.60606060606061,16440,1980,6706,108,20834,41,940,6502,53551
2026-01-26 16:29:22.215854109,19768,60.701711788272426,17582,3502,7704,112,12298,43,7850,3970,53061
2026-01-26 16:29:22.254885198,19769,74.38815740534108,15065,2043,7083,97,13332,55,7355,4552,49582
2026-01-26 16:29:22.255742898,19770,67.87483879725785,17892,2125,7008,94,12227,52,5492,3793,48683
2026-01-26 16:29:22.264813490,19771,64.53278265358803,17158,3550,7492,105,4693,81,5492,2098,40669
2026-01-26 16:29:22.277720083,19771,59.51318216985062,17158,3550,7492,105,4693,81,9367,16006,58452
2026-01-26 16:29:22.285787080,19771,59.51318216985062,17158,3550,7492,105,4693,81,9367,13234,55680
2026-01-26 16:29:22.300338223,19771,69.58942240779402,17158,3550,7492,105,4693,81,9367,12787,55233
2026-01-26 16:29:22.312823135,19775,58.65790708587517,15211,1937,6034,87,5463,59,5689,9561,44041
2026-01-26 16:29:22.334091554,19775,59.594755661501786,15211,1937,6034,87,5463,59,8403,6584,43778
2026-01-26 16:29:22.341860938,19776,66.23832549513148,17940,2125,7051,121,4940,58,7927,5371,45533
2026-01-26 16:29:22.368373163,19776,50.27652086475616,17940,2125,7051,121,4940,58,7927,19363,59525
2026-01-26 16:29:22.369377173,19778,75.15971439308531,17329,3214,5747,105,6258,113,3889,112,36767
2026-01-26 16:29:22.382424989,19778,75.15971439308531,17329,3214,5747,105,6258,113,3889,13993,50648
2026-01-26 16:29:22.397719171,19780,65.93261686556339,17081,1998,5928,80,6766,77,3678,12768,48376
2026-01-26 16:29:22.411425766,19780,56.82141030740383,17081,1998,5928,80,6766,77,8224,9086,49240
2026-01-26 16:29:22.424564914,19781,64.25909266161162,16315,1967,7199,82,4954,64,8113,7497,46191
2026-01-26 16:29:22.438430140,19781,57.22460658082976,16315,1967,7199,82,4954,64,8113,3915,42609
2026-01-26 16:29:22.451712269,19783,68.04572672836146,15863,3055,7564,104,6409,53,3806,3149,40003
2026-01-26 16:29:22.484802723,19783,58.095625399407425,15863,3055,7564,104,6409,53,3693,17180,53921
2026-01-26 16:29:22.487406449,19784,58.095625399407425,15771,1895,6640,96,20767,53,3693,13711,62626
2026-01-26 16:29:22.493585271,19784,62.01165819174005,15771,1895,6640,96,35791,124,3693,11511,75521
2026-01-26 16:29:22.515976937,19784,53.78368203087183,15771,1895,6640,96,35791,124,3685,6878,70880
2026-01-26 16:29:22.534712961,19784,63.4236062662523,15771,1895,6640,96,35791,124,3685,5014,69016
2026-01-26 16:29:22.542172156,19788,63.488032505872646,17165,2793,6069,105,5659,44,3437,3196,38468
2026-01-26 16:29:22.556588829,19788,63.488032505872646,17165,2793,6069,105,5659,44,11366,17206,60407
2026-01-26 16:29:22.621348334,19789,55.07821105970478,14816,2097,6414,108,21787,81,11366,12909,69578
2026-01-26 16:29:22.627240071,19789,61.785603954278656,14816,2097,6414,108,21787,81,3688,10677,59668
2026-01-26 16:29:22.630619734,19789,57.234432234432234,14816,2097,6414,108,21787,81,3688,7111,56102
2026-01-26 16:29:22.633063678,19789,57.142857142857146,14816,2097,6414,108,21787,81,3688,3565,52556
2026-01-26 16:29:22.635905846,19792,70.1803635342831,16205,3431,5223,79,15458,94,10012,3211,53713
2026-01-26 16:29:22.638333404,19793,70.1803635342831,15252,1987,5473,71,17165,68,3809,17139,60964
2026-01-26 16:29:22.647926898,19794,54.185857491194795,17545,3321,6883,98,15702,84,3636,12606,59875
2026-01-26 16:29:22.664585138,19795,61.03143118706134,16859,3353,7315,98,5278,84,5718,10167,48872
2026-01-26 16:29:22.674983689,19795,61.251990689697415,16859,3353,7315,98,5278,84,5718,7742,46447
2026-01-26 16:29:22.689627348,19796,65.63833278634722,18376,3329,6691,90,27491,83,5718,6462,68240
2026-01-26 16:29:22.706516958,19798,57.280329934700426,15357,3421,6604,85,9417,95,3027,2962,40968
2026-01-26 16:29:22.716986585,19799,59.64451866873434,16534,3149,6840,91,5415,89,6276,58,38452
